Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,loyalty_score_a,loyalty_score_b,loyalty_score_c,promo_dependency_score,value_tier,satisfaction_flag,category_affinity,seasonal_breadth
1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,57.27891156462586,30.593537414965994,43.02757755602104,100.0,Silver,Neutral,Clothing,1
2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,47.48299319727891,27.013605442176882,36.209803696025595,100.0,Silver,Neutral,Clothing,1
3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,77.9591836734694,45.04931972789116,61.11993439369072,100.0,Platinum,Neutral,Clothing,1
4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,99.18367346938774,75.15306122448979,87.87595106627002,100.0,Platinum,Neutral,Footwear,1
5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,44.48979591836735,35.15816326530612,39.08089744844913,100.0,Silver,At Risk,Clothing,1
6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,70.61224489795919,14.176870748299313,40.890457490841584,100.0,Bronze,At Risk,Footwear,1
7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,72.51700680272108,69.06972789115645,71.28030082215106,100.0,Platinum,Neutral,Clothing,1
8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,74.69387755102039,27.41156462585035,50.028659950929274,100.0,Bronze,Neutral,Clothing,1
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,25.71428571428572,38.17857142857143,31.31290047711987,100.0,Gold,At Risk,Outerwear,1
10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,35.782312925170075,37.29081632653061,35.87083652387317,100.0,Bronze,Satisfied,Accessories,1
11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,60.408163265306115,44.17346938775509,51.874730812741696,100.0,Bronze,Satisfied,Footwear,1
12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,54.01360544217687,58.122448979591844,56.15788894402407,100.0,Silver,Satisfied,Clothing,1
13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,76.05442176870747,72.82312925170066,75.06184963086523,100.0,Platinum,Satisfied,Outerwear,1
14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,84.48979591836734,62.65816326530612,73.82835745611014,100.0,Silver,Satisfied,Clothing,1
15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,86.93877551020408,65.53231292517006,76.59417114893309,100.0,Silver,Satisfied,Outerwear,1
16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,59.04761904761906,34.17857142857142,45.83448205176312,100.0,Gold,At Risk,Clothing,1
17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,75.10204081632652,57.2517006802721,66.235149332155,100.0,Silver,Satisfied,Accessories,1
